Method, Cyclomatic Complexity
testAddCompositedCollision, 1
setPreviousNode, 1
testXorCardinalityWithDifferentLengthFilters, 1
testForEachCellEarlyExit, 1
testAdvanceOnSaturation, 2
testFindBitMapExtractor, 1
testRemoveEmptyTarget, 1
testCursorNextIndexFirst, 1
testQueuePoll, 3
values, 1
setRemoved, 1
testInvokerPredicate, 1
testToArray2, 1
instanceOfPredicate, 1
testMultiSetIterator, 5
testPutWithList, 1
testConstantFactoryConstant, 1
testFromBitMapArray, 1
testEstimateNWithBrokenCardinality, 1
unmodifiableIterable, 2
testContainsAnyInArrayNullArray, 1
testAddAllMutator, 1
nullIsExceptionPredicate, 1
ceiling, 1
testIteratorConstructor_null_next, 1
testUnmodifiableIteratorImmutability, 1
clear, 1
testExceptionClosure, 1
testEmpty, 1
testContainsValue, 3
testToListIterator, 2
getDefaultTransformer, 1
testDataSizeAfterSerialization, 1
testContainsKey1, 1
testRemove_KeyItem, 1
testContainsKey2, 1
forAllButLastDo, 1
testContainsKey3, 1
newValueReference, 3
noCleanup, 1
testBagContains, 2
testIteratorConstructorRemove, 2
randomizeObjects, 1
testPrefixMap, 1
getLeft, 1
checkInterval, 2
getDefaultClosure, 1
testDebugPrintNullKey, 1
testSize_Iterator, 1
getCollections, 1
getMaximumValueExtractor, 3
nullTransformer, 1
testIsEqualCollectionNullColl2, 1
testIsEqualCollectionNullColl1, 1
advance, 8
testContains, 1
testFirstFromIterator, 1
serializeDeserialize, 1
getTarget, 2
processBloomFilters, 1
decorateSet, 1
testBagHashCode, 2
exceptionPredicate, 1
testReplace, 1
getPredicate, 1
testSize, 1
generateIntArray, 1
testHashSetValueHashMap, 1
testCollections701, 1
transformedSortedSet, 2
recalcHeight, 1
testEquals, 1
testPrefixMapRemoval, 1
initializeTestObjects, 1
testListSubListFailFastOnRemove, 3
testLocaleIndependence, 2
testNonePredicate, 1
getCanonicalFullCollectionName, 1
switchClosure, 1
addNodeBefore, 1
addSetValue, 1
propertyNames, 1
testListValuedMapRemove, 1
buildSnake, 2
testCollectionClear, 2
testArrayIterator, 1
testEmptyCollectionToGetInstance, 1
testMapGet, 1
testIntersectNonEmptyWithEmptyList, 1
testFromPMK, 1
compare, 1
testRemoveLRU, 1
testUnion, 1
testJaccardSimilarity, 1
testPermutationException, 2
testFullMapIterator, 4
