Package,Class Name,TCC
org.apache.commons.collections4.map.UnmodifiableEntrySet.UnmodifiableEntry,UnmodifiableEntry,0.00
org.apache.commons.collections4.map.UnmodifiableEntrySet.UnmodifiableEntrySetIterator,UnmodifiableEntrySetIterator,0.00
org.apache.commons.collections4.map.ListOrderedMap,ListOrderedMap,0.00
org.apache.commons.collections4.map.ListOrderedMap.EntrySetView,EntrySetView,0.00
org.apache.commons.collections4.map.ListOrderedMap.KeySetView,KeySetView,0.00
org.apache.commons.collections4.map.ListOrderedMap.ListOrderedIterator,ListOrderedIterator,0.00
org.apache.commons.collections4.map.ListOrderedMap.ListOrderedMapEntry,ListOrderedMapEntry,0.00
org.apache.commons.collections4.map.ListOrderedMap.ListOrderedMapIterator,ListOrderedMapIterator,0.00
org.apache.commons.collections4.map.ListOrderedMap.ValuesView,ValuesView,0.00
org.apache.commons.collections4.map.AbstractReferenceMap,AbstractReferenceMap,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceBaseIterator,ReferenceBaseIterator,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceEntry,ReferenceEntry,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceEntrySet,ReferenceEntrySet,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceEntrySetIterator,ReferenceEntrySetIterator,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceKeySet,ReferenceKeySet,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceKeySetIterator,ReferenceKeySetIterator,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceMapIterator,ReferenceMapIterator,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceValues,ReferenceValues,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.ReferenceValuesIterator,ReferenceValuesIterator,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.SoftRef,SoftRef,0.00
org.apache.commons.collections4.map.AbstractReferenceMap.WeakRef,WeakRef,0.00
org.apache.commons.collections4.map.TransformedSortedMap,TransformedSortedMap,0.00
org.apache.commons.collections4.map.TransformedMap,TransformedMap,0.00
org.apache.commons.collections4.map.AbstractLinkedMap,AbstractLinkedMap,0.00
org.apache.commons.collections4.map.AbstractLinkedMap.EntrySetIterator,EntrySetIterator,0.00
org.apache.commons.collections4.map.AbstractLinkedMap.KeySetIterator,KeySetIterator,0.00
org.apache.commons.collections4.map.AbstractLinkedMap.LinkEntry,LinkEntry,0.00
org.apache.commons.collections4.map.AbstractLinkedMap.LinkIterator,LinkIterator,0.00
org.apache.commons.collections4.map.AbstractLinkedMap.LinkMapIterator,LinkMapIterator,0.00
org.apache.commons.collections4.map.AbstractLinkedMap.ValuesIterator,ValuesIterator,0.00
org.apache.commons.collections4.map.AbstractHashedMap,AbstractHashedMap,0.00
org.apache.commons.collections4.map.AbstractHashedMap.EntrySet,EntrySet,0.00
org.apache.commons.collections4.map.AbstractHashedMap.EntrySetIterator,EntrySetIterator,0.00
org.apache.commons.collections4.map.AbstractHashedMap.HashEntry,HashEntry,0.00
org.apache.commons.collections4.map.AbstractHashedMap.HashIterator,HashIterator,0.00
org.apache.commons.collections4.map.AbstractHashedMap.HashMapIterator,HashMapIterator,0.00
org.apache.commons.collections4.map.AbstractHashedMap.KeySet,KeySet,0.00
